Country;Country 1941-1979;1941-1951;Tennessee Saturday Night;0;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;bytes 4.485.833
Country;Country 1941-1979;1941-1951;There's A New Moon Over My Shoulder;0;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;bytes 2.310.439
Country;Country 1941-1979;1950-1959;A White Sport Coat And A Pink;0;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;bytes 3.660.530
Country;Country 1941-1979;1950-1959;Battle Of New Orleans;0;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;bytes 3.710.685
Country;Country 1941-1979;1950-1959;Bye Bye Love;0;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;bytes 3.460.792
Country;Country 1941-1979;1950-1959;Cattle Call;0;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;bytes 3.692.503
Country;Country 1941-1979;1950-1959;Crazy Arms;0;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;bytes 3.730.747
Country;Country 1941-1979;1950-1959;Don't Be Cruel;0;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;bytes 2.932.654
Country;Country 1941-1979;1950-1959;Four Walls;0;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;bytes 4.162.081
Country;Country 1941-1979;1950-1959;Gone;0;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;bytes 3.481.225
Country;Country 1941-1979;1950-1959;Heartaches By The Number;0;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;bytes 2.889.542
Country;Country 1941-1979;1950-1959;Heartbreak Hotel;0;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;bytes 3.164.250
Country;Country 1941-1979;1950-1959;Hey, Good Lookin';0;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;bytes 4.252.360
Country;Country 1941-1979;1950-1959;Honeycomb;0;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;bytes 3.272.454
Country;Country 1941-1979;1950-1959;I Walk The Line;0;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;bytes 3.971.491
Country;Country 1941-1979;1950-1959;I'm Moving On;0;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;bytes 4.093.117
Country;Country 1941-1979;1950-1959;It Wasn't God Who Made Honky T;0;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;bytes 3.681.845
Country;Country 1941-1979;1950-1959;It's Only Make Believe;0;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;bytes 3.241.734
